,artist,album,track_name,track_id,release_date,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1215,Call Me Karizma,F U Till I F U,F U Till I F U,2T2Tn41RJDWxIuF3Bh65AJ,2016,True,62,0.581,0.601,A#/Bb,-5.673,Minor,0.0487,0.000143,0.114,0.132,80.012,3.9027,4
1216,Arizona Zervas,Living Facts,FML,6lruHh1jF7ezgbLv72xYmf,2018,True,75,0.822,0.575,F,-5.95,Major,0.0934,0.0,0.106,0.616,100.087,3.716666666666667,4
1217,Kane Brown,Experiment Extended,Like a Rodeo,7z3dPHwGxeK4fD6fYFDwiS,2019,False,64,0.67,0.661,D#/Eb,-6.798,Minor,0.0466,0.0,0.217,0.425,119.985,3.3621666666666665,4
1218,NF,The Search,Time,6MxMqCgqmekcr0VwSU7AVH,2019,False,74,0.677,0.688,C,-4.058,Minor,0.0633,0.0,0.114,0.198,98.049,4.00715,4
1219,benny blanco,FRIENDS KEEP SECRETS,Roses (with Juice WRLD feat. Brendon Urie),1KVczjazCcCCgM3gXXUl47,2018,True,73,0.612,0.601,G#/Ab,-7.089,Major,0.164,0.0,0.117,0.525,147.018,3.7257166666666666,4
1220,Speed Gang,Bitch Go Die,Bitch Go Die,4KQ6jZfxSdlSKp4GqcXLWJ,2018,True,61,0.794,0.496,C,-6.961,Major,0.0523,0.0,0.115,0.762,100.0,3.9179333333333335,4
1221,AK,Deja Vu,Deja Vu,52Bwru3dQz8cPavTct4qUB,2019,True,44,0.453,0.585,A#/Bb,-7.889,Major,0.266,0.0,0.11,0.286,79.693,2.9892,4
1222,MarMar Oso,Oso Different,Ruthless (Nice Guys Always Finish Last),6HeCk6yewXH7WO4D93eub9,2019,True,76,0.724,0.269,F,-15.465,Major,0.0456,0.0,0.0808,0.866,86.042,3.8837166666666665,4
1223,re:issues,I Think I'm OKAY (Acoustic),I Think I'm OKAY - Acoustic,1nPyXA3RjBDCDXlcsqKesj,2019,True,39,0.749,0.342,G,-8.501,Major,0.0367,0.0,0.0885,0.694,120.018,2.875,4
1224,Evoni,"Cars, Clothes, & Calories","Cars, Clothes, & Calories",2bDnJQWYnkIgyQTrURKpTL,2019,True,45,0.604,0.468,C,-13.965,Minor,0.252,0.0,0.348,0.254,177.903,2.56245,4
1225,Evoni,"Cars, Clothes, & Calories","Cars, Clothes, & Calories",2bDnJQWYnkIgyQTrURKpTL,2019,True,45,0.604,0.468,C,-13.965,Minor,0.252,0.0,0.348,0.254,177.903,2.56245,4
1226,Sik World,7 Years (Remix),7 Years (Remix),1kFlDnWmBTvCBxxeGDpIdp,2016,True,75,0.811,0.609,A#/Bb,-8.376,Major,0.0996,0.0,0.102,0.439,120.071,2.2366166666666665,4
1227,sKitz Kraven,#Newmusicmondays (The Collection),That's All,0kevbx0ZIY66VQYgDOjXnw,2017,True,61,0.73,0.618,C#/Db,-8.185,Major,0.329,0.0,0.102,0.19,128.113,3.515633333333333,4
1228,NF,Mansion,Paralyzed,5DHQKZCOZhGNTbYBCekWx0,2015,False,75,0.51,0.643,C,-6.602,Major,0.0485,3.22e-06,0.101,0.0397,130.081,4.50755,4
1229,NF,Mansion,Paralyzed,5DHQKZCOZhGNTbYBCekWx0,2015,False,75,0.51,0.643,C,-6.602,Major,0.0485,3.22e-06,0.101,0.0397,130.081,4.50755,4
1230,benny blanco,FRIENDS KEEP SECRETS 2,Graduation (with Juice WRLD),5E9YnE354Ua2h05nu4lmcA,2021,True,65,0.728,0.643,C,-5.353,Major,0.248,0.0,0.123,0.62,155.009,2.9368833333333333,4
1231,NF,Mansion,Paralyzed,5DHQKZCOZhGNTbYBCekWx0,2015,False,75,0.51,0.643,C,-6.602,Major,0.0485,3.22e-06,0.101,0.0397,130.081,4.50755,4
1232,Justin King,Illuminate,Illuminate,3I6B9uTGJfhNuhEc6vy74z,2018,True,41,0.821,0.412,A,-12.876,Major,0.0719,0.0,0.191,0.0385,124.086,4.78825,4
1233,Murphy Elmore,Whoever Broke Your Heart,Whoever Broke Your Heart,5kpDn3lzvpTPLPxRTXyq9c,2017,False,61,0.482,0.766,F#/Gb,-5.251,Major,0.0401,0.0,0.247,0.635,155.915,3.2413666666666665,4
1234,Ivan B,Forgive Me for My Honesty,Back to You,3hX2VFUZi2W5slqkP7hAvw,2017,False,53,0.706,0.56,D#/Eb,-10.261,Major,0.172,8.57e-06,0.109,0.16,128.01,4.134316666666667,4
1235,NF,Perception,If You Want Love,3i5qVV8azKqGFK4Gzdt5YS,2017,False,78,0.551,0.386,C,-10.22,Major,0.132,0.0,0.125,0.245,116.409,3.3231166666666665,1
1236,Sik World,Still Lost,Idgaf,3Y6L3oiUydJIGsmk5zHlDO,2017,True,59,0.789,0.652,E,-9.734,Minor,0.219,1.57e-06,0.091,0.0775,139.981,3.8642833333333333,4
1237,Sik World,Still Lost,Idgaf,3Y6L3oiUydJIGsmk5zHlDO,2017,True,59,0.789,0.652,E,-9.734,Minor,0.219,1.57e-06,0.091,0.0775,139.981,3.8642833333333333,4
1238,Bmike,Blackheart Boulevard,Anxiety,4th5Ot5mSRXWgV9gyf2rpn,2018,True,59,0.49,0.726,C,-6.793,Minor,0.26,0.0,0.17,0.25,171.945,4.186283333333333,4
1239,Aryia,Mulholland Drive,Mulholland Drive,5U4vedFHvNQFUXOAHrjX1o,2018,True,46,0.627,0.701,D,-5.85,Major,0.0393,0.0,0.111,0.188,106.067,3.548016666666667,4
1240,Xuitcasecity,Need Somebody (Acoustic),Need Somebody (Acoustic),5wvtHXLPdNrLBNIta50PeV,2017,True,59,0.417,0.498,A,-6.077,Major,0.0845,0.0,0.0748,0.37,179.801,3.20555,4
1241,Alec Chambers,Something to Cry About,Something to Cry About,6YfuGe74nVSZspzY2mYPYR,2020,False,47,0.54,0.439,D,-9.878,Major,0.0838,0.0,0.104,0.285,147.914,3.4299666666666666,4
1242,WESLEY,DON'T HAVE TO SAY YOU'RE SORRY,DON'T HAVE TO SAY YOU'RE SORRY,3lBreuvlsL7XkOkIu3wNQa,2018,False,40,0.663,0.404,F,-5.723,Major,0.0344,0.0,0.729,0.251,95.969,3.7132833333333335,4
1243,blackbear,everything means nothing,me & ur ghost,5tiZBnx5IvETA0Pj3gELjn,2020,True,72,0.742,0.679,G,-4.594,Major,0.0259,0.0,0.0754,0.856,100.041,3.3566333333333334,4
1244,AK,Broken,Broken,63vLJWg9zPWvmovErgNQAr,2019,True,50,0.451,0.457,F,-9.447,Major,0.0815,2.3e-06,0.0977,0.179,132.84,3.609916666666667,4
1245,Danny Joseph,It's You,It's You,4HjeIiB1OYAz6YPeesqczD,2019,False,35,0.68,0.561,B,-6.509,Minor,0.0287,0.0,0.304,0.382,95.995,3.5833333333333335,4
1246,Mixed Version,Falling Apart,Falling Apart,3xFqKRHYknK6Y0PTfGq6h9,2018,False,50,0.604,0.584,E,-10.604,Major,0.0562,0.0,0.313,0.414,75.013,4.447466666666666,4
1247,iann dior,nothings ever good enough,emotions,5ls62WNKHUUrdF3r1cv83T,2019,False,77,0.63,0.63,A,-6.211,Major,0.0395,0.0,0.142,0.163,80.512,2.1868833333333333,4
1248,27CLUB,Groupie,Groupie,2eChPvZolM8BjHcFws34yQ,2017,True,45,0.384,0.644,A#/Bb,-5.594,Major,0.0399,0.0,0.11,0.217,87.991,3.3636333333333335,4
1249,Mike's Dead,We've Lost Touch,We've Lost Touch,7BPRE3jaj3uQFdDrGu2CRT,2018,False,35,0.703,0.512,A#/Bb,-7.526,Minor,0.0296,0.0,0.0775,0.26,109.967,3.4022666666666668,4
1250,Rossy,Octavia,Octavia,5jvIE049KDxFEGJdbKOA7Q,2021,False,28,0.389,0.904,A,-5.461,Minor,0.0461,0.203,0.0974,0.104,140.094,3.50015,4
1251,Ludwig van Beethoven,"Beethoven: Piano Sonatas, Vol.3","Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",3DNRdudZ2SstnDCVKFdXxG,2007,False,70,0.184,0.00527,C#/Db,-37.264,Minor,0.0432,0.887,0.173,0.151,170.612,5.257116666666667,3
1252,Tryhardninja,Five Nights at Freddy's Songs,It's Me,3z80AqFSmoG47eiVY3Fo6W,2015,False,56,0.489,0.719,B,-6.815,Minor,0.0507,0.000154,0.149,0.209,128.075,3.74155,4
1253,JT Music,Want It All,Five More Nights,0bftKN5U7bF3FQsx3Rvzt1,2015,False,56,0.688,0.945,G#/Ab,-5.506,Major,0.216,0.0,0.117,0.686,90.001,4.15555,4
